target,delta_ap_mean,delta_p_at_5_mean,n_pairs
positional,-0.0075269931911382,0.0017777777777777872,225
random,0.021748405158204587,0.0044444444444444444,225
self_top5,0.5427841625019711,0.6497777777777777,225
loso_top5,0.5156220967021659,0.5751111111111111,225
