group,n,base_unreliable,flag_rate,precision,recall,fpr,rho_cheap_vs_crossseed
LIME (agnostic),1000,0.7,0.707,0.8854314002828855,0.8942857142857142,0.27,0.798006318132117
Model-matched,4000,0.31475,0.25725,0.5024295432458697,0.4106433677521843,0.18679314118934695,0.395214961637889
