delta,ds,model,seed,clean_acc,spur_acc,gen_gap,rel_share,rel_rank,sal_share,attr_rank,top5_frac
1.5,credit_g,logreg,1,0.7767,0.6467,0.13,0.5202,1,0.4628,1,0.9
1.5,credit_g,logreg,2,0.7767,0.6467,0.13,0.5245,1,0.4628,1,0.9
1.5,credit_g,logreg,3,0.7767,0.6467,0.13,0.5339,1,0.4628,1,0.9
1.5,credit_g,logreg,4,0.7767,0.6467,0.13,0.5431,1,0.4628,1,0.9
1.5,credit_g,rf,0,0.7533,0.6467,0.1067,0.453,1,0.4659,1,0.98
1.5,credit_g,rf,1,0.7567,0.64,0.1167,0.4597,1,0.4911,1,1.0
1.5,credit_g,rf,2,0.7467,0.68,0.0667,0.4206,1,0.4435,1,1.0
1.5,credit_g,rf,3,0.7367,0.6467,0.09,0.4785,1,0.5043,1,1.0
1.5,credit_g,rf,4,0.7567,0.6433,0.1133,0.4633,1,0.4787,1,1.0
1.5,credit_g,hgb,0,0.7433,0.6233,0.12,0.7423,1,0.7392,1,0.94
1.5,credit_g,hgb,1,0.7667,0.64,0.1267,0.6632,1,0.6348,1,0.97
1.5,credit_g,hgb,2,0.76,0.6467,0.1133,0.6184,1,0.6075,1,0.99
1.5,credit_g,hgb,3,0.7667,0.6267,0.14,0.627,1,0.5869,1,0.95
1.5,credit_g,hgb,4,0.76,0.62,0.14,0.6553,1,0.6066,1,0.98
1.5,bank_marketing,logreg,0,0.9013,0.8422,0.0591,0.4999,1,0.4864,1,0.94
1.5,bank_marketing,logreg,1,0.9013,0.8422,0.0591,0.4943,1,0.4864,1,0.94
1.5,bank_marketing,logreg,2,0.9013,0.8422,0.0591,0.5042,1,0.4864,1,0.94
1.5,bank_marketing,logreg,3,0.9013,0.8422,0.0591,0.5064,1,0.4864,1,0.94
1.5,bank_marketing,logreg,4,0.9013,0.8422,0.0591,0.4948,1,0.4864,1,0.94
1.5,bank_marketing,rf,0,0.9,0.8413,0.0587,0.3958,1,0.424,1,0.97
1.5,bank_marketing,rf,1,0.8982,0.8489,0.0493,0.3986,1,0.4107,1,0.99
