delta,ds,model,seed,clean_acc,spur_acc,gen_gap,rel_share,rel_rank,sal_share,attr_rank,top5_frac
0.5,adult,rf,2,0.8469,0.8373,0.0096,0.1346,3,0.1299,3,0.88
0.5,adult,rf,3,0.8453,0.838,0.0073,0.1545,2,0.1466,3,0.94
0.5,adult,rf,4,0.8469,0.8367,0.0102,0.167,2,0.1584,2,0.94
0.5,adult,hgb,0,0.8647,0.8467,0.018,0.1902,2,0.182,2,0.85
0.5,adult,hgb,1,0.8682,0.8429,0.0253,0.1918,1,0.1782,2,0.86
0.5,adult,hgb,2,0.8642,0.8438,0.0204,0.1894,2,0.1751,2,0.85
0.5,adult,hgb,3,0.8656,0.8489,0.0167,0.1839,2,0.1683,2,0.89
0.5,adult,hgb,4,0.8647,0.8471,0.0176,0.1988,1,0.1786,2,0.86
0.5,credit_g,logreg,0,0.7767,0.78,-0.0033,0.1895,1,0.1643,1,0.78
0.5,credit_g,logreg,1,0.7767,0.78,-0.0033,0.1849,1,0.1643,1,0.78
0.5,credit_g,logreg,2,0.7767,0.78,-0.0033,0.1952,1,0.1643,1,0.78
0.5,credit_g,logreg,3,0.7767,0.78,-0.0033,0.185,1,0.1643,1,0.78
0.5,credit_g,logreg,4,0.7767,0.78,-0.0033,0.1923,1,0.1643,1,0.78
0.5,credit_g,rf,0,0.7533,0.7633,-0.01,0.2195,1,0.224,2,0.93
0.5,credit_g,rf,1,0.7567,0.76,-0.0033,0.2372,1,0.243,1,0.96
0.5,credit_g,rf,2,0.7467,0.7767,-0.03,0.2207,1,0.2218,2,0.91
0.5,credit_g,rf,3,0.7367,0.77,-0.0333,0.216,1,0.2322,2,0.95
0.5,credit_g,rf,4,0.7567,0.77,-0.0133,0.2264,1,0.2276,2,0.92
0.5,credit_g,hgb,0,0.7433,0.7567,-0.0133,0.2633,1,0.2636,1,0.95
0.5,credit_g,hgb,1,0.7667,0.76,0.0067,0.2437,1,0.2527,1,0.93
0.5,credit_g,hgb,2,0.76,0.75,0.01,0.2829,1,0.2732,1,0.93
0.5,credit_g,hgb,3,0.7667,0.7567,0.01,0.2201,1,0.2357,1,0.84
0.5,credit_g,hgb,4,0.76,0.7733,-0.0133,0.242,1,0.246,1,0.92
0.5,bank_marketing,logreg,0,0.9013,0.8922,0.0091,0.2075,2,0.2245,1,0.81
0.5,bank_marketing,logreg,1,0.9013,0.8922,0.0091,0.204,2,0.2245,1,0.81
0.5,bank_marketing,logreg,2,0.9013,0.8922,0.0091,0.2087,2,0.2245,1,0.81
0.5,bank_marketing,logreg,3,0.9013,0.8922,0.0091,0.2092,2,0.2245,1,0.81
0.5,bank_marketing,logreg,4,0.9013,0.8922,0.0091,0.2149,2,0.2245,1,0.81
0.5,bank_marketing,rf,0,0.9,0.8931,0.0069,0.1634,2,0.1989,2,0.95
0.5,bank_marketing,rf,1,0.8982,0.8953,0.0029,0.1551,2,0.1865,2,0.94
0.5,bank_marketing,rf,2,0.8987,0.8938,0.0049,0.1762,2,0.2043,2,0.92
0.5,bank_marketing,rf,3,0.8993,0.8949,0.0044,0.1712,2,0.205,2,0.95
0.5,bank_marketing,rf,4,0.8989,0.896,0.0029,0.1742,2,0.2089,1,0.94
0.5,bank_marketing,hgb,0,0.9053,0.8951,0.0102,0.1785,2,0.1851,2,0.75
0.5,bank_marketing,hgb,1,0.9096,0.8927,0.0169,0.1743,2,0.1768,2,0.73
0.5,bank_marketing,hgb,2,0.9084,0.8956,0.0129,0.175,2,0.1772,2,0.77
0.5,bank_marketing,hgb,3,0.908,0.8913,0.0167,0.1799,2,0.1812,2,0.8
0.5,bank_marketing,hgb,4,0.9109,0.8953,0.0156,0.1876,2,0.1922,2,0.85
0.5,ccdefault,logreg,0,0.8091,0.778,0.0311,0.3132,1,0.2815,1,0.87
0.5,ccdefault,logreg,1,0.8091,0.778,0.0311,0.3161,1,0.2815,1,0.87
0.5,ccdefault,logreg,2,0.8091,0.778,0.0311,0.3243,1,0.2815,1,0.87
0.5,ccdefault,logreg,3,0.8091,0.778,0.0311,0.315,1,0.2815,1,0.87
0.5,ccdefault,logreg,4,0.8091,0.778,0.0311,0.3312,1,0.2815,1,0.87
0.5,ccdefault,rf,0,0.8164,0.8051,0.0113,0.2463,1,0.2336,1,0.82
0.5,ccdefault,rf,1,0.8167,0.8062,0.0104,0.2492,1,0.2428,1,0.8
0.5,ccdefault,rf,2,0.8156,0.8078,0.0078,0.2538,1,0.2408,1,0.8
0.5,ccdefault,rf,3,0.8167,0.8036,0.0131,0.2617,1,0.2436,1,0.86
0.5,ccdefault,rf,4,0.818,0.8027,0.0153,0.2703,1,0.2495,1,0.81
0.5,ccdefault,hgb,0,0.8138,0.792,0.0218,0.2794,1,0.2976,1,0.93
0.5,ccdefault,hgb,1,0.8138,0.7922,0.0216,0.2907,1,0.3091,1,0.95
0.5,ccdefault,hgb,2,0.8144,0.7904,0.024,0.2626,1,0.2968,1,0.96
0.5,ccdefault,hgb,3,0.8151,0.7913,0.0238,0.2633,1,0.2989,1,0.96
0.5,ccdefault,hgb,4,0.8184,0.79,0.0284,0.2891,1,0.3008,1,0.96
0.5,ccdefault,mlp,0,0.8164,0.7938,0.0227,0.251,1,0.2333,1,0.92
0.5,ccdefault,mlp,1,0.8184,0.7911,0.0273,0.2594,1,0.2282,1,0.9
0.5,ccdefault,mlp,2,0.8151,0.792,0.0231,0.2617,1,0.2362,1,0.89
0.5,ccdefault,mlp,3,0.8173,0.7922,0.0251,0.2559,1,0.2163,1,0.9
0.5,ccdefault,mlp,4,0.8156,0.7953,0.0202,0.273,1,0.2339,1,0.91
0.5,electricity,logreg,0,0.7636,0.706,0.0576,0.2772,2,0.2847,2,0.98
0.5,electricity,logreg,1,0.7636,0.706,0.0576,0.2828,2,0.2847,2,0.98
0.5,electricity,logreg,2,0.7636,0.706,0.0576,0.286,2,0.2847,2,0.98
0.5,electricity,logreg,3,0.7636,0.706,0.0576,0.2915,2,0.2847,2,0.98
0.5,electricity,logreg,4,0.7636,0.706,0.0576,0.2928,2,0.2847,2,0.98
0.5,electricity,rf,0,0.8173,0.7664,0.0509,0.2153,2,0.2721,2,0.94
0.5,electricity,rf,1,0.8189,0.768,0.0509,0.2223,2,0.2691,2,0.94
0.5,electricity,rf,2,0.8196,0.7616,0.058,0.2258,2,0.2689,2,0.93
0.5,electricity,rf,3,0.8209,0.7638,0.0571,0.2314,2,0.2734,2,0.96
0.5,electricity,rf,4,0.8218,0.7647,0.0571,0.2341,2,0.2764,2,0.95
0.5,electricity,hgb,0,0.8736,0.8213,0.0522,0.1359,3,0.164,3,0.87
0.5,electricity,hgb,1,0.8769,0.8216,0.0553,0.1427,3,0.1722,3,0.88
0.5,electricity,hgb,2,0.8789,0.8156,0.0633,0.1463,3,0.166,3,0.87
0.5,electricity,hgb,3,0.8729,0.8176,0.0553,0.1409,3,0.1655,3,0.93
0.5,electricity,hgb,4,0.8744,0.8213,0.0531,0.1417,3,0.1582,3,0.87
0.5,electricity,mlp,0,0.79,0.7371,0.0529,0.2256,2,0.2344,2,0.93
0.5,electricity,mlp,1,0.7891,0.7373,0.0518,0.2244,2,0.2302,2,0.91
0.5,electricity,mlp,2,0.7876,0.7327,0.0549,0.2256,2,0.2206,2,0.94
0.5,electricity,mlp,3,0.7887,0.7371,0.0516,0.2303,2,0.2312,2,0.92
0.5,electricity,mlp,4,0.7922,0.7298,0.0624,0.2427,2,0.2467,2,0.94
1.0,adult,logreg,0,0.8442,0.7689,0.0753,0.355,1,0.3137,1,0.91
1.0,adult,logreg,1,0.8442,0.7689,0.0753,0.3787,1,0.3137,1,0.91
1.0,adult,logreg,2,0.8442,0.7689,0.0753,0.3507,1,0.3137,1,0.91
1.0,adult,logreg,3,0.8442,0.7689,0.0753,0.3672,1,0.3137,1,0.91
1.0,adult,logreg,4,0.8442,0.7689,0.0753,0.3654,1,0.3137,1,0.91
1.0,adult,rf,0,0.8469,0.7869,0.06,0.2983,1,0.3035,1,0.99
1.0,adult,rf,1,0.8473,0.7907,0.0567,0.2927,1,0.287,1,0.98
1.0,adult,rf,2,0.8469,0.7911,0.0558,0.2736,1,0.2861,1,0.99
1.0,adult,rf,3,0.8453,0.7902,0.0551,0.2885,1,0.2935,1,0.98
1.0,adult,rf,4,0.8469,0.7873,0.0596,0.2902,1,0.2909,1,0.97
1.0,adult,hgb,0,0.8647,0.7833,0.0813,0.3424,1,0.358,1,0.91
1.0,adult,hgb,1,0.8682,0.7804,0.0878,0.3722,1,0.3654,1,0.93
1.0,adult,hgb,2,0.8642,0.7773,0.0869,0.353,1,0.3708,1,0.92
1.0,adult,hgb,3,0.8656,0.7833,0.0822,0.3563,1,0.3695,1,0.92
1.0,adult,hgb,4,0.8647,0.7864,0.0782,0.3399,1,0.3477,1,0.93
1.0,credit_g,logreg,0,0.7767,0.7,0.0767,0.3475,1,0.3197,1,0.92
1.0,credit_g,logreg,1,0.7767,0.7,0.0767,0.3705,1,0.3197,1,0.92
1.0,credit_g,logreg,2,0.7767,0.7,0.0767,0.3593,1,0.3197,1,0.92
1.0,credit_g,logreg,3,0.7767,0.7,0.0767,0.3522,1,0.3197,1,0.92
1.0,credit_g,logreg,4,0.7767,0.7,0.0767,0.3626,1,0.3197,1,0.92
1.0,credit_g,rf,0,0.7533,0.7133,0.04,0.3637,1,0.397,1,0.98
1.0,credit_g,rf,1,0.7567,0.7133,0.0433,0.3815,1,0.4072,1,0.98
1.0,credit_g,rf,2,0.7467,0.71,0.0367,0.3513,1,0.3671,1,0.98
1.0,credit_g,rf,3,0.7367,0.71,0.0267,0.3639,1,0.3997,1,0.97
1.0,credit_g,rf,4,0.7567,0.7033,0.0533,0.3586,1,0.3944,1,0.97
1.0,credit_g,hgb,0,0.7433,0.6933,0.05,0.4148,1,0.4476,1,1.0
1.0,credit_g,hgb,1,0.7667,0.6867,0.08,0.3693,1,0.4013,1,0.94
1.0,credit_g,hgb,2,0.76,0.6833,0.0767,0.4405,1,0.4827,1,0.97
1.0,credit_g,hgb,3,0.7667,0.68,0.0867,0.3861,1,0.4119,1,0.97
1.0,credit_g,hgb,4,0.76,0.7033,0.0567,0.4088,1,0.43,1,0.98
1.0,bank_marketing,logreg,0,0.9013,0.8707,0.0307,0.3828,1,0.3853,1,0.91
1.0,bank_marketing,logreg,1,0.9013,0.8707,0.0307,0.3811,1,0.3853,1,0.91
1.0,bank_marketing,logreg,2,0.9013,0.8707,0.0307,0.3844,1,0.3853,1,0.91
1.0,bank_marketing,logreg,3,0.9013,0.8707,0.0307,0.3773,1,0.3853,1,0.91
1.0,bank_marketing,logreg,4,0.9013,0.8707,0.0307,0.3881,1,0.3853,1,0.91
