group,metric,point_estimate,cluster_count,bootstrap_replicates,ci_low,ci_high,seed
LIME,precision,0.8373408769448374,5,20000,0.7526132404181185,0.8968253968253969,20260718
LIME,recall,0.9178294573643411,5,20000,0.8216318785578748,0.9842726081258192,20260718
LIME,fpr,0.323943661971831,5,20000,0.21634615384615385,0.48945147679324896,20260718
Model-matched,precision,0.45294117647058824,5,20000,0.2471264367816092,0.534516765285996,20260719
Model-matched,recall,0.42424242424242425,5,20000,0.10344827586206896,0.7855579868708972,20260719
Model-matched,fpr,0.19168670559945036,5,20000,0.04701002419633599,0.39837745516652434,20260719
