tau,group,n,base,flag_rate,precision,recall,fpr
0.7,LIME,1000,0.351,0.346,0.7716763005780347,0.7606837606837606,0.12172573189522343
0.7,Model-matched,4000,0.12825,0.10225,0.3569682151589242,0.28460038986354774,0.07542299971322053
0.8,LIME,1000,0.645,0.707,0.8373408769448374,0.9178294573643411,0.323943661971831
0.8,Model-matched,4000,0.27225,0.255,0.45294117647058824,0.42424242424242425,0.19168670559945036
0.9,LIME,1000,0.914,0.965,0.938860103626943,0.9912472647702407,0.686046511627907
0.9,Model-matched,4000,0.54125,0.6845,0.633308984660336,0.8009237875288684,0.5471389645776567
