dataset,model,method,variant,source,seed_a,seed_b,top3,top5,spearman,cosine,sign5
adult,logreg,linshap,spur,real,2,4,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,spur,real,3,4,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,spur,random,0,1,0.0,0.0,-0.5678571428571427,0.5956691032258056,1.0
adult,logreg,linshap,spur,random,0,2,0.0,0.0,-0.11071428571428568,0.7645888757589752,1.0
adult,logreg,linshap,spur,random,0,3,0.0,0.0,-0.2714285714285714,0.6890011232646999,1.0
adult,logreg,linshap,spur,random,0,4,0.3333333333333333,0.2,0.4142857142857142,0.8767406044040766,1.0
adult,logreg,linshap,spur,random,1,2,0.3333333333333333,0.4,-0.10714285714285714,0.6955840421651539,1.0
adult,logreg,linshap,spur,random,1,3,0.3333333333333333,0.6,0.3321428571428571,0.8299212291277164,1.0
adult,logreg,linshap,spur,random,1,4,0.3333333333333333,0.6,0.05357142857142857,0.8179807921617304,1.0
adult,logreg,linshap,spur,random,2,3,0.3333333333333333,0.6,0.21071428571428572,0.8121638886000327,1.0
adult,logreg,linshap,spur,random,2,4,0.3333333333333333,0.4,-0.21071428571428572,0.7724184740663265,1.0
adult,logreg,linshap,spur,random,3,4,0.3333333333333333,0.4,-0.014285714285714282,0.7957142556307577,1.0
adult,logreg,linshap,spur,permuted,0,1,0.3333333333333333,0.2,-0.07142857142857141,0.21389187598600604,1.0
adult,logreg,linshap,spur,permuted,0,2,0.0,0.2,-0.06071428571428571,0.16514397662433203,1.0
adult,logreg,linshap,spur,permuted,0,3,0.3333333333333333,0.4,-0.25,0.09017299619683844,1.0
adult,logreg,linshap,spur,permuted,0,4,0.3333333333333333,0.4,-0.04642857142857142,0.20463568572517898,1.0
adult,logreg,linshap,spur,permuted,1,2,0.3333333333333333,0.6,0.1964285714285714,0.19622641039648248,1.0
adult,logreg,linshap,spur,permuted,1,3,0.3333333333333333,0.4,0.17857142857142855,0.22835196597612328,1.0
adult,logreg,linshap,spur,permuted,1,4,0.0,0.2,-0.24285714285714283,0.10962761044490575,1.0
adult,logreg,linshap,spur,permuted,2,3,0.0,0.2,-0.4142857142857142,0.16236573720449565,1.0
adult,logreg,linshap,spur,permuted,2,4,0.0,0.2,0.0,0.12006640643275401,1.0
adult,logreg,linshap,spur,permuted,3,4,0.3333333333333333,0.4,-0.18214285714285713,0.9388781250019427,1.0
adult,logreg,linshap,spur,constant,0,1,1.0,1.0,0.0,0.9999999999999999,1.0
adult,logreg,linshap,spur,constant,0,2,1.0,1.0,0.0,0.9999999999999999,1.0
adult,logreg,linshap,spur,constant,0,3,1.0,1.0,0.0,0.9999999999999999,1.0
adult,logreg,linshap,spur,constant,0,4,1.0,1.0,0.0,0.9999999999999999,1.0
adult,logreg,linshap,spur,constant,1,2,1.0,1.0,0.0,0.9999999999999999,1.0
adult,logreg,linshap,spur,constant,1,3,1.0,1.0,0.0,0.9999999999999999,1.0
adult,logreg,linshap,spur,constant,1,4,1.0,1.0,0.0,0.9999999999999999,1.0
adult,logreg,linshap,spur,constant,2,3,1.0,1.0,0.0,0.9999999999999999,1.0
adult,logreg,linshap,spur,constant,2,4,1.0,1.0,0.0,0.9999999999999999,1.0
adult,logreg,linshap,spur,constant,3,4,1.0,1.0,0.0,0.9999999999999999,1.0
adult,logreg,linshap,spur,oracle,0,1,1.0,1.0,0.9999999999999999,1.0,1.0
adult,logreg,linshap,spur,oracle,0,2,1.0,1.0,0.9999999999999999,1.0,1.0
adult,logreg,linshap,spur,oracle,0,3,1.0,1.0,0.9999999999999999,1.0,1.0
adult,logreg,linshap,spur,oracle,0,4,1.0,1.0,0.9999999999999999,1.0,1.0
adult,logreg,linshap,spur,oracle,1,2,1.0,1.0,0.9999999999999999,1.0,1.0
adult,logreg,linshap,spur,oracle,1,3,1.0,1.0,0.9999999999999999,1.0,1.0
adult,logreg,linshap,spur,oracle,1,4,1.0,1.0,0.9999999999999999,1.0,1.0
adult,logreg,linshap,spur,oracle,2,3,1.0,1.0,0.9999999999999999,1.0,1.0
adult,logreg,linshap,spur,oracle,2,4,1.0,1.0,0.9999999999999999,1.0,1.0
adult,logreg,linshap,spur,oracle,3,4,1.0,1.0,0.9999999999999999,1.0,1.0
