variant,source,top5_mean,cosine_mean,n
clean,constant,1.0,1.0,450
clean,oracle,1.0,0.9999999999999998,450
clean,permuted,0.3257777777777778,0.48313965966098976,450
clean,random,0.3591111111111111,0.7594024581642643,450
clean,real,0.9093333333333333,0.9892358252138208,450
spur,constant,1.0,1.0,400
spur,oracle,1.0,1.0,400
spur,permuted,0.33,0.29382424174248484,400
spur,random,0.33149999999999996,0.7522994710965368,400
spur,real,0.8375,0.9943147923764926,400
