dataset,model,seed,variant,budget,n_instances,wall_seconds,seconds_per_instance,status,error,fast_top5_mean,fast_cosine_mean,spurious_rank,spurious_top5,spurious_salience_share
adult,logreg,0,clean,250,20,1.6250684999977238,0.08125342499988619,ok,,0.54,0.5507318396279844,,,
adult,logreg,0,clean,1000,20,1.5646334000011848,0.07823167000005923,ok,,0.52,0.5228823990087179,,,
adult,logreg,0,clean,3000,20,2.6871337999982643,0.1343566899999132,ok,,0.55,0.5445195647985258,,,
adult,logreg,0,spur,250,20,1.6535116000013659,0.08267558000006829,ok,,0.4800000000000001,0.43749447955020226,1.0,1.0,0.160964570252893
adult,logreg,0,spur,1000,20,2.2518135999998776,0.11259067999999388,ok,,0.4699999999999999,0.42148954634740604,2.0,1.0,0.1754033190963635
adult,logreg,0,spur,3000,20,5.2711725999979535,0.26355862999989765,ok,,0.48999999999999994,0.4828981735297533,2.0,1.0,0.1854536463537218
adult,logreg,1,clean,250,20,3.8707732999973814,0.19353866499986908,ok,,0.47999999999999987,0.4753010228841939,,,
adult,logreg,1,clean,1000,20,6.775754599999345,0.33878772999996726,ok,,0.55,0.5687157891076601,,,
adult,logreg,1,clean,3000,20,7.301242800000182,0.3650621400000091,ok,,0.5499999999999999,0.5493290284242496,,,
adult,logreg,1,spur,250,20,2.0100649000014528,0.10050324500007264,ok,,0.51,0.4598779658239237,1.0,1.0,0.17476875414581614
adult,logreg,1,spur,1000,20,2.3977951999986544,0.11988975999993272,ok,,0.4600000000000001,0.4880090056525067,2.0,1.0,0.1931530283741365
adult,logreg,1,spur,3000,20,4.130804000000353,0.20654020000001766,ok,,0.4999999999999999,0.4729788536431966,2.0,1.0,0.21015983974119418
adult,rf,0,clean,250,20,4.447527800002717,0.22237639000013587,ok,,0.6,0.6083096489030502,,,
adult,rf,0,clean,1000,20,2.969593199999508,0.14847965999997542,ok,,0.6,0.5617619398078081,,,
adult,rf,0,clean,3000,20,4.796061300003203,0.23980306500016013,ok,,0.59,0.5770899724887835,,,
adult,rf,0,spur,250,20,2.7284537000014097,0.1364226850000705,ok,,0.44000000000000006,0.5530807004200773,1.0,1.0,0.15970720512562825
adult,rf,0,spur,1000,20,6.775173600002745,0.33875868000013726,ok,,0.42000000000000004,0.5480318189114832,2.0,1.0,0.17457440038495173
adult,rf,0,spur,3000,20,16.500962699999945,0.8250481349999973,ok,,0.4000000000000001,0.5471740014592172,2.0,1.0,0.1833569884147577
adult,rf,1,clean,250,20,17.642758400001185,0.8821379200000592,ok,,0.5800000000000001,0.5755043942163921,,,
adult,rf,1,clean,1000,20,4.610341600000538,0.2305170800000269,ok,,0.58,0.5992039362428838,,,
adult,rf,1,clean,3000,20,6.512697500002105,0.32563487500010524,ok,,0.6,0.6105374775393841,,,
adult,rf,1,spur,250,20,5.853669899999659,0.2926834949999829,ok,,0.48,0.5781796848014606,1.0,1.0,0.16759038317523228
adult,rf,1,spur,1000,20,11.870928500000446,0.5935464250000223,ok,,0.45999999999999996,0.5580256068311581,1.0,1.0,0.17854156170316665
adult,rf,1,spur,3000,20,6.88299189999816,0.344149594999908,ok,,0.43000000000000005,0.5344694739335587,2.0,1.0,0.18713752258482294
adult,hgb,0,clean,250,20,1.381112300001405,0.06905561500007025,ok,,0.44000000000000006,0.29599739840585,,,
adult,hgb,0,clean,1000,20,2.2776283000021067,0.11388141500010533,ok,,0.39000000000000007,0.23944769100691432,,,
adult,hgb,0,clean,3000,20,3.9825094000007084,0.19912547000003541,ok,,0.45000000000000007,0.26750369280965935,,,
adult,hgb,0,spur,250,20,1.652211399999942,0.0826105699999971,ok,,0.35000000000000003,0.43919462399118886,2.0,1.0,0.17509263708077577
adult,hgb,0,spur,1000,20,2.851599499997974,0.1425799749998987,ok,,0.38000000000000006,0.46791030900698144,2.0,1.0,0.19028124686598757
adult,hgb,0,spur,3000,20,5.6884303000006184,0.28442151500003093,ok,,0.41,0.505264135052789,2.0,1.0,0.22144664453113114
adult,hgb,1,clean,250,20,2.13643410000077,0.10682170500003849,ok,,0.44000000000000006,0.2811811404563712,,,
adult,hgb,1,clean,1000,20,3.2915508000005502,0.1645775400000275,ok,,0.5099999999999999,0.29612625696239564,,,
adult,hgb,1,clean,3000,20,8.684350200001063,0.43421751000005315,ok,,0.49000000000000005,0.3082084713836867,,,
adult,hgb,1,spur,250,20,0.9389719999999215,0.04694859999999608,ok,,0.3400000000000001,0.45384926273580123,1.0,1.0,0.18166086052211602
adult,hgb,1,spur,1000,20,1.7374157999984163,0.08687078999992082,ok,,0.39,0.5025115570427474,2.0,1.0,0.21478597204094366
adult,hgb,1,spur,3000,20,3.78360320000138,0.18918016000006901,ok,,0.37000000000000005,0.4629466780426285,2.0,1.0,0.23094665810934317
credit_g,logreg,0,clean,250,20,0.6890303000000131,0.034451515000000654,ok,,0.47000000000000003,0.8032563940263764,,,
credit_g,logreg,0,clean,1000,20,0.9179632999985188,0.04589816499992594,ok,,0.51,0.8303879161705267,,,
credit_g,logreg,0,clean,3000,20,2.4550534000009065,0.12275267000004533,ok,,0.54,0.8462508965516593,,,
credit_g,logreg,0,spur,250,20,0.9376075000000128,0.04688037500000064,ok,,0.35000000000000003,0.3436725442322034,1.0,1.0,0.118766802115159
credit_g,logreg,0,spur,1000,20,1.1998170000006212,0.05999085000003106,ok,,0.45000000000000007,0.444254607309343,1.0,1.0,0.19647361246074224
credit_g,logreg,0,spur,3000,20,2.3104257000013604,0.11552128500006802,ok,,0.44000000000000006,0.4806283106195973,1.0,1.0,0.2833840599406389
credit_g,logreg,1,clean,250,20,0.8270759000006365,0.04135379500003182,ok,,0.53,0.8352846615886087,,,
credit_g,logreg,1,clean,1000,20,1.3249882999989495,0.06624941499994748,ok,,0.52,0.8423187180497793,,,
credit_g,logreg,1,clean,3000,20,2.9172608999979275,0.14586304499989639,ok,,0.55,0.8408630698789228,,,
credit_g,logreg,1,spur,250,20,1.1321702000022924,0.05660851000011462,ok,,0.3100000000000001,0.3423842436593657,2.0,1.0,0.11615243116243679
credit_g,logreg,1,spur,1000,20,1.8202760999993188,0.09101380499996595,ok,,0.41,0.4393274237255458,1.0,1.0,0.19822342216259517
credit_g,logreg,1,spur,3000,20,3.6675715999990643,0.18337857999995322,ok,,0.48,0.5163306915694307,1.0,1.0,0.2849422409200023
credit_g,rf,0,clean,250,20,12.818484999999782,0.6409242499999891,ok,,0.55,0.8491938814631407,,,
credit_g,rf,0,clean,1000,20,4.611924299999373,0.23059621499996866,ok,,0.54,0.8565365684277161,,,
credit_g,rf,0,clean,3000,20,4.544531499999721,0.22722657499998605,ok,,0.5599999999999999,0.8737271938070739,,,
credit_g,rf,0,spur,250,20,2.1563057000021217,0.10781528500010609,ok,,0.41999999999999993,0.4213921440035837,1.0,1.0,0.11485706197799254
credit_g,rf,0,spur,1000,20,3.8126097999993362,0.19063048999996682,ok,,0.49000000000000005,0.5564693961870715,1.0,1.0,0.17334458570870845
credit_g,rf,0,spur,3000,20,5.625563199999306,0.2812781599999653,ok,,0.53,0.6382424363875223,1.0,1.0,0.23189523184518007
credit_g,rf,1,clean,250,20,4.024491500000295,0.20122457500001473,ok,,0.6,0.8679696351795994,,,
credit_g,rf,1,clean,1000,20,4.868119599999773,0.24340597999998864,ok,,0.58,0.8971261497177194,,,
credit_g,rf,1,clean,3000,20,5.878015800000867,0.2939007900000433,ok,,0.62,0.9057723334375722,,,
credit_g,rf,1,spur,250,20,2.0908969000010984,0.10454484500005493,ok,,0.36000000000000004,0.3961906930458439,2.0,1.0,0.11370251280924289
credit_g,rf,1,spur,1000,20,2.045934400000988,0.10229672000004938,ok,,0.4600000000000001,0.5365175018159071,1.0,1.0,0.1878628466580385
credit_g,rf,1,spur,3000,20,3.1747209999994084,0.15873604999997043,ok,,0.6000000000000001,0.6283452595288688,1.0,1.0,0.24502868162308744
credit_g,hgb,0,clean,250,20,0.385816199999681,0.01929080999998405,ok,,0.48,0.7064073183984648,,,
credit_g,hgb,0,clean,1000,20,0.7063822999989497,0.035319114999947485,ok,,0.49000000000000005,0.7940978794842857,,,
credit_g,hgb,0,clean,3000,20,1.4043132000006153,0.07021566000003077,ok,,0.47999999999999987,0.8242296309893726,,,
credit_g,hgb,0,spur,250,20,0.42909180000060587,0.021454590000030294,ok,,0.33999999999999997,0.30845165036953853,1.0,1.0,0.11679813327214913
credit_g,hgb,0,spur,1000,20,0.7327231999988726,0.03663615999994363,ok,,0.37,0.39544847254084725,1.0,1.0,0.197022092678483
credit_g,hgb,0,spur,3000,20,1.7797159000001557,0.08898579500000778,ok,,0.4600000000000001,0.42478153194624185,1.0,1.0,0.2963550152668487
credit_g,hgb,1,clean,250,20,0.5684574000006251,0.028422870000031252,ok,,0.45,0.6881883471604433,,,
credit_g,hgb,1,clean,1000,20,0.6080266999997548,0.03040133499998774,ok,,0.6100000000000001,0.7846194093993345,,,
credit_g,hgb,1,clean,3000,20,1.2296294000007038,0.06148147000003519,ok,,0.6199999999999999,0.8310578799153661,,,
credit_g,hgb,1,spur,250,20,0.43755679999958375,0.021877839999979186,ok,,0.25000000000000006,0.33444802658396855,2.0,1.0,0.11450228514248315
credit_g,hgb,1,spur,1000,20,0.8068543000008503,0.040342715000042516,ok,,0.31000000000000005,0.4129803576331109,1.0,1.0,0.21330607221756592
credit_g,hgb,1,spur,3000,20,1.7040306999988388,0.08520153499994194,ok,,0.4700000000000001,0.4875070344163543,1.0,1.0,0.31088402632637124
bank_marketing,logreg,0,clean,250,20,0.4438613999991503,0.022193069999957515,ok,,0.58,0.5291806199039406,,,
bank_marketing,logreg,0,clean,1000,20,0.5288782999996329,0.026443914999981645,ok,,0.6300000000000001,0.6834561085452789,,,
bank_marketing,logreg,0,clean,3000,20,1.5209273999971629,0.07604636999985814,ok,,0.68,0.7328176586327986,,,
bank_marketing,logreg,0,spur,250,20,0.5311121000013372,0.026555605000066863,ok,,0.48999999999999994,0.6498997840369399,1.0,1.0,0.25513324415884586
bank_marketing,logreg,0,spur,1000,20,0.48971829999936745,0.024485914999968373,ok,,0.57,0.7436364560895715,1.0,1.0,0.379918320039275
bank_marketing,logreg,0,spur,3000,20,1.140128300001379,0.057006415000068957,ok,,0.64,0.8010127656483315,1.0,1.0,0.43153104685685983
bank_marketing,logreg,1,clean,250,20,0.5572131000008085,0.027860655000040424,ok,,0.54,0.49320372072305474,,,
bank_marketing,logreg,1,clean,1000,20,1.2244669000028807,0.061223345000144036,ok,,0.65,0.6706574025340067,,,
bank_marketing,logreg,1,clean,3000,20,1.713890099999844,0.0856945049999922,ok,,0.7,0.6853207358630857,,,
bank_marketing,logreg,1,spur,250,20,0.9701107000000775,0.048505535000003874,ok,,0.4499999999999999,0.5701676424988402,1.0,1.0,0.2302584178439447
bank_marketing,logreg,1,spur,1000,20,1.770780200000445,0.08853901000002225,ok,,0.5700000000000001,0.7351040805059147,1.0,1.0,0.33252563306699784
bank_marketing,logreg,1,spur,3000,20,1.7034529999982624,0.08517264999991311,ok,,0.6000000000000001,0.8229413788237661,1.0,1.0,0.4386042257378662
bank_marketing,rf,0,clean,250,20,2.6266568999999436,0.13133284499999717,ok,,0.6300000000000001,0.4974617678027524,,,
bank_marketing,rf,0,clean,1000,20,2.4874435999990965,0.12437217999995483,ok,,0.68,0.47993758756149846,,,
bank_marketing,rf,0,clean,3000,20,2.7965552999994543,0.1398277649999727,ok,,0.7200000000000001,0.46439366875722976,,,
bank_marketing,rf,0,spur,250,20,1.973136100001284,0.0986568050000642,ok,,0.52,0.35901583974750917,1.0,1.0,0.24973940383927
bank_marketing,rf,0,spur,1000,20,2.1408391000004485,0.10704195500002242,ok,,0.6200000000000001,0.35423976558705794,1.0,1.0,0.3113642645197925
bank_marketing,rf,0,spur,3000,20,3.960295299999416,0.19801476499997078,ok,,0.6500000000000001,0.41957678364187867,1.0,1.0,0.3543229757591357
bank_marketing,rf,1,clean,250,20,2.518951099998958,0.1259475549999479,ok,,0.6599999999999999,0.4123835408212925,,,
bank_marketing,rf,1,clean,1000,20,2.3210300999999163,0.11605150499999581,ok,,0.72,0.41217591208904825,,,
bank_marketing,rf,1,clean,3000,20,2.6544012000013026,0.13272006000006514,ok,,0.78,0.3824309248028063,,,
bank_marketing,rf,1,spur,250,20,2.753656000000774,0.13768280000003869,ok,,0.44000000000000006,0.2532623149463032,1.0,1.0,0.22272961992834728
bank_marketing,rf,1,spur,1000,20,4.354503599999589,0.21772517999997945,ok,,0.54,0.3787664959854165,1.0,1.0,0.2821566341497867
bank_marketing,rf,1,spur,3000,20,4.008016699997825,0.20040083499989123,ok,,0.6,0.36087941667368184,1.0,1.0,0.3193392394364586
bank_marketing,hgb,0,clean,250,20,0.7605459999977029,0.03802729999988515,ok,,0.47000000000000003,0.4199222684148811,,,
bank_marketing,hgb,0,clean,1000,20,1.8334286999997857,0.09167143499998928,ok,,0.5599999999999999,0.3921633608586548,,,
bank_marketing,hgb,0,clean,3000,20,3.2173895000014454,0.16086947500007226,ok,,0.6,0.34836946576635075,,,
bank_marketing,hgb,0,spur,250,20,0.7623176000015519,0.038115880000077595,ok,,0.4600000000000001,0.5405910287954178,1.0,1.0,0.2085008479459734
bank_marketing,hgb,0,spur,1000,20,1.1075442000001203,0.05537721000000602,ok,,0.5,0.7050405188963558,1.0,1.0,0.32446642600543557
bank_marketing,hgb,0,spur,3000,20,2.5425505000021076,0.12712752500010538,ok,,0.62,0.7759917462194087,1.0,1.0,0.40769116966433494
bank_marketing,hgb,1,clean,250,20,0.5281549999999697,0.026407749999998488,ok,,0.47000000000000003,0.4108709138396348,,,
bank_marketing,hgb,1,clean,1000,20,0.9103558999995585,0.04551779499997792,ok,,0.53,0.4687953479340904,,,
bank_marketing,hgb,1,clean,3000,20,2.6207469000000856,0.13103734500000427,ok,,0.58,0.429112493010768,,,
bank_marketing,hgb,1,spur,250,20,0.6419869999990624,0.03209934999995312,ok,,0.48,0.4847491426700226,1.0,1.0,0.1905634423698565
bank_marketing,hgb,1,spur,1000,20,0.9666738999985682,0.048333694999928414,ok,,0.56,0.6845448982883022,1.0,1.0,0.29407173104940576
bank_marketing,hgb,1,spur,3000,20,2.2422083000019484,0.11211041500009741,ok,,0.6100000000000001,0.7355489421383002,1.0,1.0,0.37893972282189897
ccdefault,logreg,0,clean,250,20,0.6012469000015699,0.030062345000078494,ok,,0.54,0.7986826021022786,,,
ccdefault,logreg,0,clean,1000,20,1.2071221000005607,0.06035610500002804,ok,,0.6900000000000002,0.9166837608243439,,,
ccdefault,logreg,0,clean,3000,20,1.7695902999985265,0.08847951499992632,ok,,0.7000000000000001,0.9268325219188431,,,
ccdefault,logreg,0,spur,250,20,0.6681267000021762,0.03340633500010881,ok,,0.4,0.5337119591067955,1.0,1.0,0.3931789861203207
ccdefault,logreg,0,spur,1000,20,0.9276465000002645,0.04638232500001323,ok,,0.48999999999999994,0.50772365384575,1.0,1.0,0.5287236986461018
ccdefault,logreg,0,spur,3000,20,2.111223299998528,0.1055611649999264,ok,,0.53,0.5202476412566204,1.0,1.0,0.6558753006137792
ccdefault,logreg,1,clean,250,20,0.8492549000002327,0.04246274500001164,ok,,0.51,0.7976559908696916,,,
ccdefault,logreg,1,clean,1000,20,0.9342608000006294,0.04671304000003147,ok,,0.6400000000000001,0.910560924089187,,,
ccdefault,logreg,1,clean,3000,20,2.200565600000118,0.1100282800000059,ok,,0.76,0.9358075238860202,,,
ccdefault,logreg,1,spur,250,20,0.7423832999993465,0.03711916499996733,ok,,0.44000000000000006,0.47068976592157047,1.0,1.0,0.38168100063018306
ccdefault,logreg,1,spur,1000,20,1.0120876000000862,0.05060438000000431,ok,,0.4600000000000001,0.5135659831753879,1.0,1.0,0.542396972172209
ccdefault,logreg,1,spur,3000,20,2.105385599999863,0.10526927999999316,ok,,0.5000000000000001,0.5029598463521492,1.0,1.0,0.6474024522094208
ccdefault,rf,0,clean,250,20,1.6748522000016237,0.08374261000008118,ok,,0.6199999999999999,0.7194812297550285,,,
ccdefault,rf,0,clean,1000,20,2.008020299999771,0.10040101499998855,ok,,0.78,0.812772482504279,,,
ccdefault,rf,0,clean,3000,20,2.516643599999952,0.1258321799999976,ok,,0.7899999999999999,0.842853468255176,,,
ccdefault,rf,0,spur,250,20,1.4022332000022288,0.07011166000011144,ok,,0.41999999999999993,0.7749091270758971,1.0,1.0,0.4018480877345284
ccdefault,rf,0,spur,1000,20,1.6121853000004194,0.08060926500002097,ok,,0.45999999999999996,0.8468990430458719,1.0,1.0,0.5295292808846519
ccdefault,rf,0,spur,3000,20,2.7965266999999585,0.13982633499999791,ok,,0.6,0.8942194155663967,1.0,1.0,0.6395483664696501
ccdefault,rf,1,clean,250,20,1.77346899999975,0.0886734499999875,ok,,0.58,0.6554681591722727,,,
ccdefault,rf,1,clean,1000,20,2.3617334000009578,0.11808667000004788,ok,,0.72,0.7875899646986272,,,
