dataset,model,method,seed,variant,truth_type,source,ap,precision_at_1,precision_at_3,precision_at_5,recall_at_5,recall_at_10,target_rank,target_top1,target_top3,target_top5,target_salience_share
adult,logreg,linshap,2,spur,spurious_feature,oracle,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,logreg,linshap,3,spur,spurious_feature,real,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.5028467948652813
adult,logreg,linshap,3,spur,spurious_feature,random,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.05841891678038778
adult,logreg,linshap,3,spur,spurious_feature,permuted,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.5028467948652814
adult,logreg,linshap,3,spur,spurious_feature,constant,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.06666666666666667
adult,logreg,linshap,3,spur,spurious_feature,oracle,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,logreg,linshap,4,spur,spurious_feature,real,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.5028467948652813
adult,logreg,linshap,4,spur,spurious_feature,random,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.00575409868476332
adult,logreg,linshap,4,spur,spurious_feature,permuted,0.1,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.018131014613585184
adult,logreg,linshap,4,spur,spurious_feature,constant,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.06666666666666667
adult,logreg,linshap,4,spur,spurious_feature,oracle,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,logreg,lime,0,clean,descriptive_top5,real,0.532967032967033,1.0,0.3333333333333333,0.4,0.4,0.6,,,,,
adult,logreg,lime,0,clean,descriptive_top5,random,0.49131701631701635,1.0,0.3333333333333333,0.2,0.2,0.6,,,,,
adult,logreg,lime,0,clean,descriptive_top5,permuted,0.6214285714285714,1.0,0.6666666666666666,0.6,0.6,0.6,,,,,
adult,logreg,lime,0,clean,descriptive_top5,constant,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,,,,,
adult,logreg,lime,0,clean,descriptive_top5,oracle,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,logreg,lime,1,clean,descriptive_top5,real,0.5186813186813186,1.0,0.3333333333333333,0.4,0.4,0.6,,,,,
adult,logreg,lime,1,clean,descriptive_top5,random,0.511060606060606,1.0,0.3333333333333333,0.4,0.4,0.6,,,,,
