ds,model,seed,variant,acc,auc,ece,fit_time
bank_marketing,hgb,0,clean,0.9053333333333331,0.9272916543081361,0.019931942803259002,1.7000000000000002
bank_marketing,hgb,0,spur,0.8593333333333331,0.6721436485444361,0.11524263403666,2.42
bank_marketing,hgb,1,clean,0.9095555555555551,0.9288770544661971,0.015314909415742001,0.89
bank_marketing,hgb,1,spur,0.858,0.654420080332044,0.11509994694356201,0.84
bank_marketing,hgb,2,clean,0.908444444444444,0.9308190979006121,0.017368726678517,0.81
bank_marketing,hgb,2,spur,0.8595555555555551,0.6433521788966681,0.111502677010737,1.29
bank_marketing,hgb,3,clean,0.908,0.9324745828876281,0.017042172294544,1.16
bank_marketing,hgb,3,spur,0.858,0.6576545071481741,0.11355665118706801,0.79
bank_marketing,hgb,4,clean,0.9108888888888881,0.9314077626243581,0.015866974255081,1.23
bank_marketing,hgb,4,spur,0.8582222222222221,0.6523242329897181,0.11097495065465601,1.0
bank_marketing,mlp,0,clean,0.906222222222222,0.9247819955183981,0.007224982818752001,3.49
bank_marketing,mlp,0,spur,0.8577777777777771,0.7424040483676211,0.110831708025417,5.1
bank_marketing,mlp,1,clean,0.9037777777777771,0.9248437084394571,0.012625324640344,5.2
bank_marketing,mlp,1,spur,0.859111111111111,0.730252343655815,0.110098768156782,4.51
bank_marketing,mlp,2,clean,0.908444444444444,0.927916437834517,0.007757064444597001,5.47
bank_marketing,mlp,2,spur,0.857111111111111,0.740727274814813,0.11115230841700001,7.16
bank_marketing,mlp,3,clean,0.905777777777777,0.9260435224395831,0.015215759806404001,15.47
bank_marketing,mlp,3,spur,0.861111111111111,0.726540478892267,0.10884649896248001,9.27
bank_marketing,mlp,4,clean,0.9075555555555551,0.9270242316502131,0.010182104071474001,6.41
bank_marketing,mlp,4,spur,0.8593333333333331,0.7487131181577591,0.11153373195285,4.9
ccdefault,logreg,0,clean,0.8091111111111111,0.7127527795898171,0.048912326753035,0.06
ccdefault,logreg,0,spur,0.6788888888888881,0.548126939978064,0.24688745735844303,0.05
ccdefault,logreg,1,clean,0.8091111111111111,0.7127527795898171,0.048912326753035,0.06
ccdefault,logreg,1,spur,0.6788888888888881,0.548126939978064,0.24688745735844303,0.05
