ds,model,method,acc_clean,acc_spur,acc_gap,sal_share,sal_share_std,attr_rank,top3_frac,top5_frac,rel_spur,rel_share,rel_rank
adult,logreg,linshap,0.844222222222222,0.728444444444444,0.11577777777777798,0.5028467948652813,0.0,1.0,0.9280000000000002,0.958,0.2951979304190547,0.5369840779917614,1
adult,logreg,lime,0.844222222222222,0.728444444444444,0.11577777777777798,0.16581977270765455,0.009556059229164754,2.6,0.5800000000000001,0.8619999999999999,0.2951979304190547,0.5369840779917614,1
adult,rf,treeshap,0.846666666666666,0.7664888888888889,0.08017777777777713,0.3933423432678329,0.018501615438973856,1.0,0.968,0.9803999999999998,0.16749766745329647,0.4046966790141638,1
adult,rf,lime,0.846666666666666,0.7664888888888889,0.08017777777777713,0.15188379702978136,0.005493405480864788,3.0,0.52,0.9099999999999999,0.16749766745329647,0.4046966790141638,1
adult,hgb,treeshap,0.8654666666666664,0.7221777777777775,0.1432888888888889,0.5767943148828755,0.03689266683026802,1.0,0.9523999999999999,0.9788,0.29852489581636876,0.5648696664560129,1
adult,hgb,lime,0.8654666666666664,0.7221777777777775,0.1432888888888889,0.17757425865284748,0.0062507452342934425,2.0,0.694,0.9179999999999999,0.29852489581636876,0.5648696664560129,1
adult,mlp,ig,0.8482222222222215,0.7360888888888886,0.11213333333333297,0.39771768352658776,0.009748761981768645,1.0,0.8612,0.9148000000000002,0.2781587129188739,0.48158751007056155,1
adult,mlp,lime,0.8482222222222215,0.7360888888888886,0.11213333333333297,0.14871654891612082,0.01271405941061084,2.6,0.48600000000000004,0.8299999999999998,0.2781587129188739,0.48158751007056155,1
credit_g,logreg,linshap,0.7766666666666661,0.59,0.1866666666666661,0.5129323398500405,0.0,1.0,0.9333333333333333,0.9399999999999998,0.3796887860138729,0.5701381028538315,1
credit_g,logreg,lime,0.7766666666666661,0.59,0.1866666666666661,0.2834236724706602,0.010592495466375841,1.0,0.73,0.8640000000000001,0.3796887860138729,0.5701381028538315,1
credit_g,rf,treeshap,0.7499999999999993,0.6186666666666666,0.13133333333333275,0.5205546496424605,0.013654279339294995,1.0,0.9813333333333333,0.9906666666666668,0.21460408068052494,0.4964379988059441,1
credit_g,rf,lime,0.7499999999999993,0.6186666666666666,0.13133333333333275,0.24598518503568206,0.00527368720505332,1.0,0.7659999999999999,0.932,0.21460408068052494,0.4964379988059441,1
credit_g,hgb,treeshap,0.759333333333333,0.569333333333333,0.18999999999999995,0.7214459930146072,0.023349034303840787,1.0,0.9533333333333334,0.9726666666666667,0.4241964387801317,0.6987650546531073,1
credit_g,hgb,lime,0.759333333333333,0.569333333333333,0.18999999999999995,0.29273390909841185,0.012781871357763552,1.0,0.752,0.916,0.4241964387801317,0.6987650546531073,1
credit_g,mlp,ig,0.7833333333333334,0.6486666666666666,0.13466666666666682,0.3641679875467055,0.02988000913725346,1.0,0.9039999999999999,0.9346666666666665,0.3096465742280861,0.39892024224094874,1
credit_g,mlp,lime,0.7833333333333334,0.6486666666666666,0.13466666666666682,0.22864011571142512,0.021154282315932398,1.0,0.63,0.6459999999999999,0.3096465742280861,0.39892024224094874,1
bank_marketing,logreg,linshap,0.9013333333333332,0.852,0.04933333333333323,0.5064790809591703,0.0,1.0,0.9200000000000002,0.946,0.14242706755131396,0.5104779998645413,1
bank_marketing,logreg,lime,0.9013333333333332,0.852,0.04933333333333323,0.29841627238144114,0.010662579770944114,1.0,1.0,1.0,0.14242706755131396,0.5104779998645413,1
bank_marketing,rf,treeshap,0.8990222222222218,0.8520888888888883,0.04693333333333349,0.4551906387118664,0.009396697285153887,1.0,0.9763999999999999,0.9879999999999999,0.09728109501421647,0.39998045119579034,1
bank_marketing,rf,lime,0.8990222222222218,0.8520888888888883,0.04693333333333349,0.2547511792934992,0.004730919233392927,1.0,0.97,1.0,0.09728109501421647,0.39998045119579034,1
bank_marketing,hgb,treeshap,0.9084444444444442,0.8586222222222221,0.0498222222222221,0.5891146297769043,0.019417412349917385,1.0,0.9427999999999999,0.9708,0.11978466362137352,0.4449700513177951,1
bank_marketing,hgb,lime,0.9084444444444442,0.8586222222222221,0.0498222222222221,0.2663887683343247,0.0066986136595916556,1.0,0.9879999999999999,1.0,0.11978466362137352,0.4449700513177951,1
bank_marketing,mlp,ig,0.9063555555555551,0.8588888888888887,0.047466666666666435,0.3625164470612482,0.020493519363797147,1.0,0.8700000000000001,0.9236000000000001,0.1260403191882443,0.3940609004929254,1
bank_marketing,mlp,lime,0.9063555555555551,0.8588888888888887,0.047466666666666435,0.2542403983467213,0.010201912907571607,1.0,0.9479999999999998,0.998,0.1260403191882443,0.3940609004929254,1
ccdefault,logreg,linshap,0.8091111111111111,0.6788888888888881,0.13022222222222302,0.6417565905182926,0.0,1.0,0.966,0.986,0.317137643003194,0.6495817427815277,1
ccdefault,logreg,lime,0.8091111111111111,0.6788888888888881,0.13022222222222302,0.49973236662866816,0.01039887122505542,1.0,1.0,1.0,0.317137643003194,0.6495817427815277,1
ccdefault,rf,treeshap,0.8166666666666662,0.687244444444444,0.12942222222222222,0.6121573841231089,0.009391863380762264,1.0,0.9700000000000001,0.9815999999999999,0.24799559704493862,0.5723761655416876,1
ccdefault,rf,lime,0.8166666666666662,0.687244444444444,0.12942222222222222,0.49074299799172005,0.008819795560552818,1.0,1.0,1.0,0.24799559704493862,0.5723761655416876,1
ccdefault,hgb,treeshap,0.8151111111111107,0.6903111111111107,0.12480000000000002,0.7115956625776673,0.015189105304441603,1.0,0.9872,0.9907999999999999,0.3178882682775153,0.6308884265724449,1
ccdefault,hgb,lime,0.8151111111111107,0.6903111111111107,0.12480000000000002,0.5123127417682782,0.009125439719373287,1.0,1.0,1.0,0.3178882682775153,0.6308884265724449,1
ccdefault,mlp,ig,0.8165777777777775,0.6813333333333331,0.1352444444444444,0.5153481980722388,0.0208991718017194,1.0,0.9516,0.9663999999999999,0.3202176125428554,0.5446445712184077,1
ccdefault,mlp,lime,0.8165777777777775,0.6813333333333331,0.1352444444444444,0.49384146841768634,0.004393713422697636,1.0,1.0,1.0,0.3202176125428554,0.5446445712184077,1
electricity,logreg,linshap,0.7635555555555551,0.585333333333333,0.17822222222222206,0.6164990210541657,0.0,1.0,0.9559999999999998,0.992,0.43283545021495745,0.6416209651996317,1
electricity,logreg,lime,0.7635555555555551,0.585333333333333,0.17822222222222206,0.5238520305237354,0.00800921506724482,1.0,1.0,1.0,0.43283545021495745,0.6416209651996317,1
