ds,model,method,n_inst,top3_mean,top3_std,top5_mean,top5_std,spearman_mean,spearman_std,cosine_mean,cosine_std,sign5_mean,sign5_std,rho_conf_instab
adult,logreg,linshap,500,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.5319468636452473e-16,1.0,0.0,0.09628090138527585
adult,logreg,lime,100,0.6933333333333332,0.10666666666666667,0.7192000000000002,0.059927956748082115,0.6772527472527473,0.09475290640051123,0.7864896047799256,0.07900379393257238,0.8578000000000001,0.0627308536527282,0.1916111611161116
adult,rf,treeshap,500,0.9304000000000001,0.09089833148450341,0.92952,0.06351511316214434,0.9815806593406594,0.013943802082636693,0.990442658642495,0.0034831203620585734,1.0,0.0,-0.4226443785775143
adult,rf,lime,100,0.745,0.09858724280780169,0.7956,0.08807178889973794,0.7714637362637363,0.08439637545435319,0.8468018101479013,0.07034512469566542,0.9092000000000001,0.05523911657512278,0.21507350735073505
adult,hgb,treeshap,500,0.8948,0.10325622929823113,0.90112,0.07591801894148716,0.9147947252747254,0.0543520438941718,0.9797304795937691,0.019285177522300294,0.98788,0.026763886115435478,0.23062661850647403
adult,hgb,lime,100,0.6453333333333333,0.08698914363937098,0.6248,0.062039987105092134,0.522087912087912,0.10325023738639919,0.8440594242862345,0.05309276810953073,0.7786,0.0744180085731942,0.07631563156315631
adult,mlp,ig,500,0.8179333333333334,0.12354286705431437,0.8525600000000001,0.08388948921050839,0.9037327472527472,0.05193333940979873,0.9482799190086916,0.040024474435880183,0.9881599999999999,0.024831721647924444,-0.5456025344101376
adult,mlp,lime,100,0.7016666666666669,0.10114620880465838,0.6976,0.08353586056299415,0.742654945054945,0.11126922598856867,0.8141037926007121,0.0993790355032567,0.9010000000000001,0.07437069315261222,0.33335733573357335
adult,mlp,kshap,100,0.841,0.1262145439761643,0.8632,0.07983583155450943,0.912455819223719,0.04760260475596573,0.953818405300559,0.05195379141252716,0.9712000000000002,0.044570842486989184,-0.6436123612361235
credit_g,logreg,linshap,300,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.472877282518059e-16,1.0,0.0,0.04496725161170007
credit_g,logreg,lime,100,0.8133333333333332,0.10338708279513882,0.8667999999999999,0.06236794048227022,0.9482451127819548,0.02774394974938334,0.963642578823617,0.020406866949545147,0.9932000000000002,0.01475669339655737,-0.20088808880888084
credit_g,rf,treeshap,300,0.8622222222222221,0.12218181150125575,0.8528666666666667,0.08612267735942467,0.9327924812030074,0.032090337758446025,0.9788152822518087,0.01617054815611975,0.9988666666666666,0.005891990797307424,-0.35884532050356116
credit_g,rf,lime,100,0.6806666666666668,0.1242023438676671,0.7528,0.07691657818702027,0.8718195488721804,0.050635087002279554,0.9380125377868722,0.04622823627847708,0.9828,0.027570999256465115,-0.25776177617761775
credit_g,hgb,treeshap,300,0.7098888888888889,0.1439212318862451,0.7106,0.10772019309303155,0.7709017543859648,0.07921391784828277,0.8774926808256843,0.07123565522422291,0.9470666666666667,0.054437078866849176,-0.24905921176901963
credit_g,hgb,lime,100,0.5896666666666667,0.12496177193223713,0.6555999999999998,0.08893053468859836,0.7022195488721803,0.0873726581866965,0.7917886464695606,0.06712379390384075,0.9502000000000002,0.04711645147928696,-0.014137413741374135
credit_g,mlp,ig,300,0.5874444444444444,0.13347820832917048,0.6386666666666666,0.0888344277606129,0.7723804511278195,0.07426591535999295,0.8220762244914505,0.062156825256837495,0.9468666666666669,0.04813365650861038,-0.20438671540794895
credit_g,mlp,lime,100,0.622,0.1313367173844898,0.6352,0.09423884549377712,0.7620691729323308,0.08235697492561726,0.8127530670655,0.058383696315858526,0.9520000000000001,0.0512249938994628,-0.09110111011101109
credit_g,mlp,kshap,100,0.6203333333333334,0.12300812981262664,0.6796000000000001,0.09346571563947925,0.7264228821157936,0.07067181656292966,0.8190235204973016,0.06084986387163482,0.835,0.08524670081592603,-0.05666966696669666
bank_marketing,logreg,linshap,500,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.6103975366082987e-16,1.0,0.0,-0.02989811910327992
bank_marketing,logreg,lime,100,0.6983333333333335,0.1199421156688138,0.7834000000000002,0.08035197570688603,0.6842499999999998,0.09342025979115219,0.726372033610587,0.1583256420786214,0.9006000000000001,0.06365249405954179,0.2839483948394839
bank_marketing,rf,treeshap,500,0.9004000000000001,0.10357957756666554,0.89664,0.080388496689514,0.9564141176470589,0.03178329948182783,0.9903488949541769,0.007476485437079353,0.9994400000000001,0.005485107109255025,-0.1943326173304693
bank_marketing,rf,lime,100,0.878,0.10469214127356667,0.8637999999999999,0.05718006645676446,0.7388441176470589,0.0735462716552951,0.9292376561571417,0.03960438577378024,0.9412,0.04506173543040704,0.3144314431443144
bank_marketing,hgb,treeshap,500,0.7693333333333334,0.13420382508209916,0.7852,0.0891120642786374,0.8658782352941177,0.0650978354765888,0.9518553778389324,0.0484431659805583,0.97436,0.03814957928994762,0.016874659498637996
