ds,model,metric,method_a,method_b,mean_a,mean_b,n,W,p,r,r_ci_low,r_ci_high,p_holm,p_bh,sig_bonf,sig_holm,sig_bh
adult,logreg,top5,linshap,lime,0.9024820289855073,0.698920909349247,50,0.0,7.517719802882833e-10,1.0,1.0,1.0,1.9546071487495365e-08,1.45330054442231e-09,True,True,True
adult,logreg,cosine,linshap,lime,0.9286024074111964,0.15121272412901393,50,0.0,1.7763568394002505e-15,1.0,1.0,1.0,7.105427357601002e-14,5.921189464667502e-15,True,True,True
adult,rf,top5,treeshap,lime,0.93286731925528,0.7977590146722305,50,0.0,7.522823720955151e-10,1.0,1.0,1.0,1.9546071487495365e-08,1.45330054442231e-09,True,True,True
adult,rf,cosine,treeshap,lime,0.9797362097305673,0.3412007088394784,50,0.0,1.7763568394002505e-15,1.0,1.0,1.0,7.105427357601002e-14,5.921189464667502e-15,True,True,True
adult,hgb,top5,treeshap,lime,0.8578918378951329,0.6341127480757229,50,0.0,7.541564726440781e-10,1.0,1.0,1.0,1.9546071487495365e-08,1.45330054442231e-09,True,True,True
adult,hgb,cosine,treeshap,lime,0.8951800394709764,0.0757584071331821,50,0.0,1.7763568394002505e-15,1.0,1.0,1.0,7.105427357601002e-14,5.921189464667502e-15,True,True,True
adult,mlp,top5,ig,lime,0.8677272865298953,0.7160036062488235,50,0.0,7.539859267508618e-10,1.0,1.0,1.0,1.9546071487495365e-08,1.45330054442231e-09,True,True,True
adult,mlp,cosine,ig,lime,0.9415682241771753,0.34045298647217515,50,0.0,1.7763568394002505e-15,1.0,1.0,1.0,7.105427357601002e-14,5.921189464667502e-15,True,True,True
credit_g,logreg,top5,linshap,lime,0.9181892182327478,0.8742230455818691,50,171.0,5.3975785571007114e-05,0.6836262719703978,0.4301388744674558,0.8705787016934432,0.0005397578557100711,6.964617493033177e-05,True,True,True
credit_g,logreg,cosine,linshap,lime,0.9943894565571683,0.9440279478482302,50,0.0,1.7763568394002505e-15,1.0,1.0,1.0,7.105427357601002e-14,5.921189464667502e-15,True,True,True
credit_g,rf,top5,treeshap,lime,0.9182678260869566,0.7779408695652174,50,1.0,7.993152994322705e-10,0.9984313725490196,0.9905882352941177,1.0,1.9546071487495365e-08,1.45330054442231e-09,True,True,True
credit_g,rf,cosine,treeshap,lime,0.9864564417391306,0.9458660660869564,50,0.0,1.7763568394002505e-15,1.0,1.0,1.0,7.105427357601002e-14,5.921189464667502e-15,True,True,True
credit_g,hgb,top5,treeshap,lime,0.8754494488915462,0.7203752716791589,50,0.0,7.534744968972034e-10,1.0,1.0,1.0,1.9546071487495365e-08,1.45330054442231e-09,True,True,True
credit_g,hgb,cosine,treeshap,lime,0.9473397731227879,0.8402301133004506,50,0.0,1.7763568394002505e-15,1.0,1.0,1.0,7.105427357601002e-14,5.921189464667502e-15,True,True,True
credit_g,mlp,top5,ig,lime,0.9002543084985191,0.7916061783576199,50,19.0,2.3579657005609175e-09,0.9701960784313726,0.9137254901960784,1.0,3.536948550841376e-08,3.6276395393244884e-09,True,True,True
credit_g,mlp,cosine,ig,lime,0.9864151373273434,0.925111981842386,50,0.0,1.7763568394002505e-15,1.0,1.0,1.0,7.105427357601002e-14,5.921189464667502e-15,True,True,True
bank_marketing,logreg,top5,linshap,lime,0.93952,0.76912,50,1.0,7.980542829448365e-10,0.9984313725490196,0.9905882352941177,1.0,1.9546071487495365e-08,1.45330054442231e-09,True,True,True
bank_marketing,logreg,cosine,linshap,lime,0.9780598399999999,0.7313606399999999,50,0.0,1.7763568394002505e-15,1.0,1.0,1.0,7.105427357601002e-14,5.921189464667502e-15,True,True,True
bank_marketing,rf,top5,treeshap,lime,0.8540800000000001,0.8512000000000001,50,568.0,0.6579521881594882,0.07265306122448979,-0.24980592236894758,0.4033061224489794,1.0,0.6748227570866546,False,False,False
