ds,model,variant,acc_mean,acc_std,auc_mean,auc_std,ece_mean,ece_std
adult,hgb,clean,0.8654666666666662,0.0016147468555187832,0.923254903259566,0.000926459665357402,0.0161649896953336,0.005118679631293102
adult,hgb,spur,0.7221777777777774,0.004116812862901008,0.6947238873690966,0.010393485155994742,0.2228443254985708,0.002127196081218662
adult,logreg,clean,0.844222222222222,0.0,0.9058741082724492,0.0,0.020475873955992003,0.0
adult,logreg,spur,0.728444444444444,0.0,0.692415364540209,0.0,0.20007414552910902,0.0
adult,mlp,clean,0.8482222222222215,0.0019372884193512635,0.9116093554391236,0.001094702468063854,0.021951207964111003,0.002935774997484181
adult,mlp,spur,0.7360888888888886,0.0035192591813031342,0.7314725079651053,0.004049028622155819,0.21330278838977962,0.003013393560929468
adult,rf,clean,0.846666666666666,0.0007698003589193798,0.9063752111332635,0.00042675571596192843,0.0418364282791272,0.0013760624371862735
adult,rf,spur,0.7664888888888888,0.007460844290753145,0.8056444747666767,0.006864430444282752,0.07037288007463201,0.009893676434526454
bank_marketing,hgb,clean,0.9084444444444439,0.0020667861375262934,0.9301740304373863,0.002074908885825428,0.017104945089428603,0.0017890106710335663
bank_marketing,hgb,spur,0.8586222222222221,0.0007601169500659024,0.655978929582208,0.010480068586966231,0.11327537196653661,0.0019819622547937238
bank_marketing,logreg,clean,0.9013333333333332,0.0,0.9095164194641591,0.0,0.026989950391095002,0.0
bank_marketing,logreg,spur,0.852,0.0,0.674722196176286,0.0,0.10757672771514101,0.0
bank_marketing,mlp,clean,0.9063555555555551,0.0017888543819999572,0.9261219791764337,0.0013665494083989237,0.010601047156314202,0.0033561448702152997
bank_marketing,mlp,spur,0.8588888888888887,0.0015475986974649704,0.7377274527776551,0.009118387515154399,0.1104926031029058,0.0010605325711661188
bank_marketing,rf,clean,0.8990222222222218,0.000677686696976885,0.9226426142550144,0.0009944276681187003,0.0359518957352968,0.001490517810573785
bank_marketing,rf,spur,0.8520888888888882,0.0026086276605918218,0.839034905593582,0.0038010967751080323,0.06383547617397041,0.002798186424723841
ccdefault,hgb,clean,0.8151111111111107,0.0019436506316152149,0.7725883339665515,0.0019593473351794235,0.0170869983913332,0.0037306344321058602
ccdefault,hgb,spur,0.6903111111111107,0.0005794846582400162,0.5702154137305638,0.006016462483643822,0.24885742637991304,0.0020830744927831644
ccdefault,logreg,clean,0.8091111111111111,0.0,0.7127527795898171,0.0,0.048912326753035,0.0
ccdefault,logreg,spur,0.6788888888888881,0.0,0.548126939978064,0.0,0.24688745735844303,0.0
ccdefault,mlp,clean,0.8165777777777775,0.0013480667456091478,0.7631785460827673,0.0023012275071126313,0.0216645310294092,0.004207840173612365
ccdefault,mlp,spur,0.6813333333333331,0.0015791856003949543,0.5538409307593601,0.00320509179284966,0.24757114442254222,0.0021734948136043646
ccdefault,rf,clean,0.8166666666666662,0.000874889763779321,0.7792084244331496,0.0007679099843770701,0.0142090306654216,0.0011338976364264953
ccdefault,rf,spur,0.687244444444444,0.002975621109559155,0.6639984229277627,0.0014281546395851822,0.19100159712143544,0.0060876940979701566
credit_g,hgb,clean,0.759333333333333,0.009545214042184107,0.8078465608465605,0.006832714177776396,0.0696029806719716,0.01580077646019758
credit_g,hgb,spur,0.569333333333333,0.007226494462893068,0.5110264550264546,0.017656598765610404,0.37032644770045564,0.008333870575311961
credit_g,logreg,clean,0.7766666666666661,0.0,0.8263492063492061,0.0,0.06598824865112,0.0
credit_g,logreg,spur,0.59,0.0,0.5303174603174601,0.0,0.322932845204813,0.0
credit_g,mlp,clean,0.7833333333333332,0.0040824829046386514,0.826275132275132,0.011340822744361592,0.0613011770898916,0.008990064433226965
credit_g,mlp,spur,0.6486666666666666,0.01609002451486293,0.5912804232804229,0.015173723159712174,0.22937969172652703,0.03008558324773526
credit_g,rf,clean,0.7499999999999994,0.008498365855988,0.8271322751322746,0.008051495053985282,0.07762165921800541,0.012564950397580727
credit_g,rf,spur,0.6186666666666664,0.025451478891761685,0.6397037037037034,0.00997614803300523,0.1640346596780174,0.01654230037967647
electricity,hgb,clean,0.8753333333333326,0.0024993826398225522,0.9437166710465139,0.001633038258387707,0.017381336037013202,0.002606389387421222
electricity,hgb,spur,0.6227555555555551,0.004258904977214173,0.6410940791202566,0.012388830655722632,0.305128575541601,0.0040739259246913885
electricity,logreg,clean,0.7635555555555551,0.0,0.8247421617578681,0.0,0.02125840750934,0.0
electricity,logreg,spur,0.585333333333333,0.0,0.6037037336513771,0.0,0.322042464883022,0.0
electricity,mlp,clean,0.7895111111111108,0.0017525994802784256,0.8644598839677371,0.0011401995234562744,0.0229092640934418,0.0016740069255438061
electricity,mlp,spur,0.5937333333333329,0.0019077489805631924,0.6190600982433438,0.0018689719643467675,0.32122618077686244,0.00475918418304584
electricity,rf,clean,0.8196888888888882,0.00173276343907695,0.8994552952353996,0.000692729468051885,0.0560054778328414,0.002459152483615128
electricity,rf,spur,0.5860888888888884,0.0034804569020335965,0.6966717742424546,0.00214598393262529,0.25345639738547043,0.003900182999479188
