ds,n,rho_mc_seed_instab,rho_mc_pert_instab,pred_std_mean
adult,200,0.5804950123753094,0.5203497344000267,0.03979032127681087
credit_g,200,0.07955448886222156,-0.10552061285914777,0.0953095924473947
bank_marketing,200,0.2021285532138304,0.03679825275248066,0.03334172835160672
ccdefault,200,-0.23764944123603093,-0.6285341847554342,0.056128014620490344
electricity,200,0.2004110102752569,0.40028455732746376,0.07181870297812665
